f;;;;;n;;;;;r;;;;;s;;;;
CR;CR+;RTW;SR;TI;CR;CR+;RTW;SR;TI;CR;CR+;RTW;SR;TI;CR;CR+;RTW;SR;TI;
1,8333333333333333;1,7777777777777777;2,0;1,8;1,5;1,3636363636363635;1,4444444444444444;1,2142857142857142;1,2222222222222223;1,25;1,5714285714285714;1,4444444444444444;1,4;2,6666666666666665;1,8;1,0;1,0;1,0526315789473684;1,0526315789473684;0,9583333333333334
1,3333333333333333;1,2727272727272727;1,4;1,5;1,7777777777777777;1,5;1,5;1,3;1,1428571428571428;1,875;1,8333333333333333;2,8;1,625;2,1666666666666665;3,0;1,0;1,0;1,0;1,0;1,2857142857142858
1,6666666666666667;2,4;2,0;1,3333333333333333;1,5714285714285714;1,1428571428571428;1,1818181818181819;1,0588235294117647;1,5;1,1;2,1666666666666665;2,6;1,8333333333333333;2,0;1,875;1,0;1,0869565217391304;1,4545454545454546;1,0476190476190477;1,0
1,8;1,625;2,3333333333333335;1,1;1,1818181818181819;1,3;1,0769230769230769;1,0;1,0625;1,2222222222222223;2,5;2,6;1,75;2,3333333333333335;2,0;1,0909090909090908;1,0;1,0;1,0;1,0
2,4;2,6;2,0;1,2;1,7142857142857142;1,3846153846153846;1,1818181818181819;1,0;1,2;1,4;3,25;1,8333333333333333;2,3333333333333335;1,5;3,0;1,0;1,0;1,0909090909090908;1,0;1,1
1,7142857142857142;1,8;1,2857142857142858;1,875;2,0;1,3076923076923077;2,0;1,1818181818181819;1,875;1,625;2,0;1,4444444444444444;2,1666666666666665;2,1666666666666665;1,8571428571428572;1,05;1,0454545454545454;1,0434782608695652;1,0;1,0
2,3333333333333335;1,75;2,0;1,4444444444444444;1,5;1,1875;1,1875;1,105263157894737;1,375;2,0;2,6666666666666665;2,0;1,4444444444444444;2,1666666666666665;2,0;0,9411764705882353;1,1538461538461537;1,0416666666666667;1,0;1,0
1,25;1,375;1,5;1,7142857142857142;1,75;1,1818181818181819;4,0;1,0625;2,0;1,75;2,3333333333333335;2,3333333333333335;1,625;3,2;1,75;1,0;1,1666666666666667;1,0;1,0;1,0416666666666667
1,7142857142857142;1,7777777777777777;1,2222222222222223;1,4545454545454546;1,6666666666666667;3,6666666666666665;1,4;1,4285714285714286;1,5;1,4;2,142857142857143;2,1666666666666665;2,0;1,3333333333333333;2,4;1,0;1,0454545454545454;1,1176470588235294;1,0434782608695652;1,0
1,2222222222222223;1,3;1,4444444444444444;1,3636363636363635;2,0;1,0;1,2222222222222223;1,2857142857142858;1,8571428571428572;1,2727272727272727;2,0;1,5;2,1666666666666665;1,5714285714285714;1,75;1,0454545454545454;1,0454545454545454;1,0;1,0;1,0
1,6666666666666667;1,6666666666666667;1,8571428571428572;2,2;1,3333333333333333;1,1176470588235294;1,2;1,6;1,75;1,3333333333333333;2,0;1,6666666666666667;1,7777777777777777;2,4;2,3333333333333335;1,0;1,0;1,0416666666666667;1,0;1,0909090909090908
1,7142857142857142;2,5;2,0;1,5;1,0;1,1578947368421053;1,4444444444444444;1,3333333333333333;1,25;1,5;2,2857142857142856;2,0;2,6;1,5555555555555556;2,1666666666666665;1,0909090909090908;1,0416666666666667;1,0;1,0;1,0
2,1666666666666665;1,625;1,25;1,2222222222222223;1,3636363636363635;1,1428571428571428;1,4;1,125;1,2222222222222223;1,0;3,25;3,25;1,625;1,5;1,3636363636363635;1,6666666666666667;1,0869565217391304;1,2857142857142858;1,0909090909090908;1,1
2,6;1,1;1,5555555555555556;1,7142857142857142;2,0;1,0588235294117647;1,0666666666666667;1,3125;3,0;1,1666666666666667;2,142857142857143;1,5714285714285714;1,3333333333333333;1,4;1,875;1,5;1,0666666666666667;1,0;1,0869565217391304;1,0476190476190477
2,142857142857143;1,5714285714285714;1,4444444444444444;1,625;2,4285714285714284;1,2307692307692308;1,1538461538461537;1,0555555555555556;1,1111111111111112;1,2857142857142858;2,3333333333333335;2,8;1,8888888888888888;1,5555555555555556;1,875;1,0;1,0416666666666667;1,0;1,0952380952380953;1,0869565217391304
;;;;;;;;;;2,6;1,75;2,2857142857142856;1,5555555555555556;2,4;;;;;
;;;;;;;;;;2,6666666666666665;3,0;2,2857142857142856;3,0;4,0;;;;;
;;;;;;;;;;2,1666666666666665;3,0;1,75;1,8571428571428572;2,1666666666666665;;;;;
;;;;;;;;;;2,6;2,0;1,75;1,8571428571428572;2,8;;;;;
;;;;;;;;;;1,625;2,1666666666666665;1,75;1,8333333333333333;3,25;;;;;
;;;;;;;;;;2,0;2,6;2,0;1,8333333333333333;2,1666666666666665;;;;;
;;;;;;;;;;1,7142857142857142;2,6;3,25;1,5714285714285714;2,75;;;;;
;;;;;;;;;;2,8;2,0;2,8;3,3333333333333335;2,0;;;;;
;;;;;;;;;;1,7142857142857142;2,3333333333333335;1,8571428571428572;2,3333333333333335;2,0;;;;;
;;;;;;;;;;2,0;2,2;2,1666666666666665;2,8;2,142857142857143;;;;;
