f;;;;;n;;;;;r;;;;;s;;;;
CR;CR+;RTW;SR;TI;CR;CR+;RTW;SR;TI;CR;CR+;RTW;SR;TI;CR;CR+;RTW;SR;TI;
0,009;0,009;0,031;0,09;0,049;0,009;0,013;0,65;0,161;0,933;0,004;0,032;0,017;0,095;0,053;0,023;0,013;0,388;0,074;0,061
0,009;0,008;0,06;0,089;1,104;0,009;0,022;2,014;0,137;0,001;0,026;0,013;0,018;1,548;1086,601;0,062;0,02;0,234;0,077;0,058
0,009;0,009;0,043;0,083;0,001;0,009;0,049;0,104;0,148;0,001;0,0;0,033;0,017;0,001;0,152;0,019;0,042;0,634;0,07;0,059
0,009;0,009;0,003;0,091;0,048;0,009;0,009;1,495;0,127;0,156;0,008;0,027;0,018;0,881;2,051;0,039;0,018;0,788;0,065;0,08
0,011;0,01;0,08;0,091;0,118;0,009;0,02;0,279;0,126;0,048;0,024;0,03;0,018;0,129;7,491;0,027;0,013;0,185;0,123;0,016
0,009;0,008;0,006;0,102;0,053;0,01;0,023;0,26;0,13;1,873;0,001;0,027;0,018;0,897;6410,557;0,021;0,029;0,226;0,104;3,158
0,01;0,009;0,002;0,116;0,047;0,008;0,045;0,492;0,112;0,002;0,008;0,053;0,017;0,087;0,018;0,021;0,011;0,143;0,089;1,089
0,01;0,01;0,045;0,1;0,073;0,008;0,014;0,23;0,121;0,013;0,023;0,031;0,017;0,572;0,029;0,033;0,008;0,339;0,099;0,145
0,01;0,008;102,76;0,089;0,128;0,009;0,01;0,738;0,108;0,189;0,001;0,29;0,017;0,052;0,033;0,039;0,009;0,465;0,109;0,018
0,842;0,012;0,021;0,097;0,036;0,009;0,999;0,149;0,117;0,015;0,01;0,001;0,018;0,277;12806,561;0,026;0,01;0,19;0,104;0,069
0,013;0,015;0,179;0,362;0,001;0,043;0,337;0,147;0,368;0,001;98,672;0,026;0,004;0,001;10,471;0,043;0,022;0,333;0,262;0,004
0,006;0,007;0,001;0,135;0,001;0,027;0,014;0,029;0,236;0,003;0,002;0,016;5,32;0,0;0,074;0,013;0,012;0,12;0,106;5006,295
0,007;0,008;0,106;0,124;0,001;0,027;0,01;0,14;0,111;0,224;0,111;0,02;0,135;0,182;0,335;0,011;0,011;0,033;0,192;0,028
0,006;0,007;0,044;0,123;0,474;0,026;0,01;0,161;0,179;0,495;0,001;0,02;0,078;0,001;0,131;0,011;0,01;0,039;0,222;0,001
0,006;0,01;0,114;0,105;0,109;0,011;0,009;0,004;0,149;0,011;5,681;0,011;0,001;0,012;11,218;0,009;0,013;0,07;0,112;0,154
0,006;0,009;0,046;0,093;0,279;0,009;0,009;0,068;0,1;0,034;0,002;0,022;0,0;11,259;0,778;0,01;0,012;0,042;0,079;0,037
0,006;0,01;0,106;0,127;0,043;0,01;0,009;0,172;0,083;0,011;0,076;0,015;0,0;0,001;0,354;0,009;0,01;0,017;0,115;0,521
0,006;0,01;0,076;0,121;0,662;0,01;0,01;0,054;0,09;0,086;0,001;0,019;0,011;0,299;0,562;0,01;0,01;0,043;0,13;0,023
0,006;0,009;0,105;0,23;0,795;0,009;0,009;0,0;0,085;0,05;0,001;2,169;0,008;0,001;0,303;0,008;0,01;0,041;0,103;2,158
0,006;0,01;0,07;0,093;0,171;0,009;0,011;0,05;0,08;0,046;0,001;0,0;0,026;0,0;0,276;0,01;0,01;0,005;0,11;0,001
0,007;0,01;0,138;0,101;0,011;0,01;0,009;0,097;0,094;0,08;0,001;0,001;0,0;0,001;0,117;0,008;0,01;0,092;0,078;0,001
0,005;0,009;0,068;0,076;0,0;0,009;0,009;0,076;0,262;0,345;4,634;0,0;0,008;0,0;0,402;0,01;0,01;0,021;0,088;0,028
0,007;0,01;0,012;0,081;0,007;0,01;0,009;0,029;0,255;0,043;0,002;0,001;0,024;0,001;0,229;0,011;0,01;0,041;0,075;0,085
0,005;0,009;0,124;0,085;0,083;0,031;0,009;0,053;0,238;0,009;0,001;0,063;0,001;7,841;0,311;0,01;0,008;0,06;0,077;0,025
0,007;0,011;0,028;0,08;0,039;0,013;0,009;0,047;0,305;2,361;0,067;0,001;0,008;0,02;0,683;0,01;0,011;0,008;0,07;0,084
0,006;0,009;0,073;0,076;0,038;0,01;0,01;0,008;0,229;0,637;0,002;0,209;0,023;0,055;1094,469;0,01;0,009;0,086;0,083;0,006
0,006;0,01;0,008;0,084;0,015;0,01;0,008;0,076;0,16;0,004;0,079;0,001;4,146;0,022;0,096;0,01;0,009;0,026;0,069;0,111
0,006;0,01;0,078;0,079;2,99;0,01;0,01;0,028;0,169;0,031;0,002;0,0;0,047;0,014;0,061;0,009;0,01;0,063;0,077;0,001
0,005;0,01;0,029;0,1;0,105;0,01;0,008;0,02;0,158;0,008;0,001;0,0;0,077;0,055;0,01;0,01;0,009;0,052;0,073;0,014
0,006;0,038;0,081;0,074;0,053;0,011;0,009;0,197;0,173;1,695;0,002;0,001;0,001;0,026;6400,747;0,009;0,01;0,498;0,077;3,591
104,226;0,011;0,042;0,115;0,021;0,01;0,009;0,073;0,153;0,007;0,033;0,0;0,01;0,0;0,001;0,009;0,01;0,081;0,071;0,0
0,014;0,01;0,565;0,088;0,019;0,011;0,009;0,05;0,134;0,061;0,001;0,0;0,03;0,009;9,1;0,01;0,01;0,062;0,08;0,044
0,008;0,01;106,229;0,091;2,269;0,043;0,009;0,038;0,131;0,035;0,001;0,0;0,061;0,032;0,075;0,009;0,009;0,015;0,067;0,062
0,006;0,01;0,061;0,093;0,002;1,048;0,009;0,055;0,126;2,54;0,024;0,001;0,018;0,0;12798,008;0,01;1,166;13,143;0,082;0,022
0,018;0,02;0,155;0,175;0,002;0,03;0,014;0,442;0,565;0,001;0,002;0,018;0,001;0,12;0,808;0,054;0,017;0,331;0,727;0,02
0,007;0,011;0,145;0,122;1,49;0,016;0,007;0,201;0,114;0,001;0,04;0,007;0,048;2,013;5,942;0,028;0,011;0,832;0,101;0,089
0,008;0,01;0,054;0,297;0,002;0,029;0,008;0,118;0,096;0,113;0,068;0,024;0,017;0,096;0,263;0,01;0,011;0,32;0,074;0,002
0,007;0,01;0,046;0,249;0,12;0,095;0,01;0,104;0,088;0,283;0,016;0,005;0,036;1,483;0,264;0,009;0,01;1,087;0,154;0,001
0,011;0,009;0,03;0,116;0,286;0,029;0,011;0,07;0,094;0,007;0,014;0,013;0,091;0,082;0,281;0,008;0,011;0,143;0,179;0,001
0,011;0,009;0,025;0,214;0,045;0,037;0,026;0,041;0,096;0,042;0,09;0,007;0,085;1,598;0,24;0,009;0,01;0,092;0,082;0,014
0,011;0,009;0,173;0,103;3,281;0,066;0,035;0,146;0,175;0,057;0,034;0,023;0,0;0,03;2,482;0,008;0,009;0,043;0,262;0,046
0,012;0,009;0,088;0,1;0,0;0,012;0,101;0,154;0,09;0,085;0,037;6,905;0,019;0,379;0,555;0,009;0,01;0,09;0,121;3,176
0,011;0,009;0,022;0,094;0,001;0,009;0,014;0,039;0,063;0,006;0,025;0,001;0,0;0,01;0,001;0,009;0,01;0,003;0,12;0,001
0,011;0,007;0,085;0,081;0,117;0,011;0,074;0,009;0,061;0,097;0,028;0,0;0,014;0,51;2,026;0,01;0,01;0,043;0,091;0,093
0,011;0,01;0,109;0,084;0,006;0,079;0,017;0,048;0,053;0,044;0,048;0,021;0,105;0,1;0,057;0,009;0,009;0,007;0,073;0,002
0,01;0,009;0,086;0,126;0,19;0,017;0,018;0,112;0,055;1,133;0,023;0,005;0,054;0,856;2,517;0,01;0,01;0,088;0,068;0,033
0,01;0,008;0,163;1,128;0,077;0,025;0,012;0,002;0,06;0,268;0,01;0,109;0,001;0,174;0,06;0,009;0,009;0,08;0,149;0,027
0,01;0,009;0,441;0,721;0,031;0,037;0,034;0,073;0,095;0,105;0,018;0,001;0,017;0,628;0,699;0,01;0,01;0,083;0,101;0,059
0,011;0,008;0,127;0,207;0,03;0,031;0,014;0,01;0,082;0,064;97,337;0,0;0,01;0,589;0,046;0,008;0,011;0,101;0,096;0,014
96,35;0,008;0,089;0,158;0,247;0,03;0,014;0,097;0,058;0,012;0,002;0,012;0,035;1,567;1120,679;0,01;0,01;0,103;0,063;0,001
0,034;98,756;0,276;0,143;0,463;0,013;0,012;0,044;0,062;0,067;0,0;0,011;0,0;0,084;0,025;0,009;0,009;0,077;0,063;0,085
1,098;0,017;0,052;0,105;0,356;0,008;0,03;0,035;0,051;0,073;0,001;0,022;0,014;0,643;0,016;0,01;0,01;0,04;0,049;0,016
0,013;1,543;0,046;0,123;0,574;0,009;0,04;0,033;0,055;0,053;0,086;0,016;0,034;0,055;0,015;0,008;0,01;0,05;0,067;0,082
0,007;0,018;0,361;0,141;0,001;0,008;0,04;0,061;0,05;0,041;0,001;0,018;0,001;0,699;6396,7;0,057;0,01;0,13;0,1;0,691
0,007;0,009;105,236;0,127;1,45;0,047;0,016;0,027;0,124;0,105;5,079;0,019;0,011;5,276;0,001;0,03;0,01;0,09;0,07;1,342
0,007;0,008;0,048;0,132;0,114;0,019;0,027;0,034;0,094;0,009;0,001;0,019;0,033;0,121;0,001;0,012;0,01;0,035;0,063;0,001
0,007;0,009;0,331;0,12;0,039;0,02;0,031;0,146;0,131;0,036;0,001;0,063;0,001;0,001;0,001;0,01;0,027;0,037;0,069;0,0
0,014;0,017;0,212;0,1;0,015;0,039;0,767;9,812;0,086;0,186;0,072;0,006;0,014;0,106;12798,998;0,01;0,012;0,052;0,056;0,081
0,022;0,015;0,205;0,145;1,378;0,015;0,013;0,338;0,491;5015,162;0,001;6,584;5,217;8,432;0,101;0,05;0,014;0,301;0,112;0,071
0,006;0,007;0,047;0,109;0,0;0,009;0,006;0,058;0,281;0,001;0,0;0,001;0,001;0,146;0,91;0,012;0,007;0,202;0,136;3,71
0,006;0,007;0,047;0,1;0,001;0,007;0,007;0,158;0,24;0,569;4,151;0,07;0,055;0,0;0,059;0,011;0,008;0,075;0,076;0,001
0,009;0,007;0,195;0,087;0,154;0,009;0,006;0,097;0,23;0,068;0,002;0,001;0,0;0,038;0,637;0,01;0,006;0,054;0,098;5005,719
0,01;0,009;0,026;0,094;0,012;0,01;0,008;0,276;0,13;0,002;0,049;0,002;0,001;0,055;0,13;0,011;0,026;0,049;0,063;0,755
0,009;0,009;0,047;0,087;0,127;0,027;0,022;0,072;0,117;0,311;0,001;0,047;0,042;0,061;0,718;0,01;0,012;0,098;0,105;0,032
0,009;0,009;0,022;0,086;0,043;0,134;0,013;0,052;0,101;0,004;5,062;0,001;0,029;3,712;0,206;0,01;0,01;0,18;0,078;0,068
0,009;0,009;0,073;0,084;3,006;0,014;0,108;0,178;0,159;4,318;0,0;0,023;0,012;0,001;0,287;0,01;0,011;0,139;0,094;0,059
0,009;0,009;0,023;0,089;0,001;0,045;0,017;0,076;0,166;0,001;0,001;0,001;0,097;2,855;0,217;0,01;0,012;0,052;0,111;0,744
0,008;0,009;0,048;0,089;0,001;0,054;0,083;0,046;0,211;0,001;0,027;0,02;0,001;0,054;0,199;0,01;0,108;0,097;0,102;0,01
0,009;0,009;0,046;0,083;0,095;0,028;0,023;0,05;0,191;0,001;0,006;0,01;0,0;0,024;0,206;0,01;0,032;0,147;0,079;2,132
0,013;0,008;0,043;0,094;0,38;0,013;0,012;0,129;0,19;0,074;0,01;0,008;0,001;1,458;0,275;0,01;0,025;0,108;0,092;0,621
0,057;0,009;0,074;0,106;1,299;0,011;0,03;0,098;0,165;0,542;0,014;0,06;0,0;0,0;0,109;0,011;0,022;0,072;0,098;0,581
0,019;0,008;0,07;0,083;0,001;0,028;0,061;0,049;0,189;0,048;0,005;0,043;0,0;0,021;0,452;0,011;0,012;0,395;0,198;0,046
0,021;0,008;0,026;0,102;0,007;0,016;0,032;0,145;0,185;0,048;0,024;0,045;0,0;0,095;0,147;0,038;0,027;0,151;0,108;0,01
0,028;0,01;0,015;0,082;0,116;0,018;0,056;0,053;0,183;0,007;0,001;0,031;0,027;0,043;1119,289;0,042;0,033;0,082;0,103;0,075
