f;;;;;n;;;;;r;;;;;s;;;;
CR;CR+;RTW;SR;TI;CR;CR+;RTW;SR;TI;CR;CR+;RTW;SR;TI;CR;CR+;RTW;SR;TI;
0,462;0,32;0,383;4,024;7,223;0,158;8,408;0,092;10,666;22,908;3,17;2,724;2,284;2,424;8,671;34,349;18,445;25,17;1821,289;59,69
2,414;3,58;3,162;0,098;1,111;8,096;0,087;3,381;5,987;0,501;0,032;1,235;2,229;0,03;0,029;79,559;63,204;24,303;2,65;69,106
0,282;0,092;1,109;2,58;3,052;0,216;0,152;22,572;5,819;6,199;0,899;1,593;0,032;3,077;0,03;32,156;21,913;36,696;9580,898;51,599
5,113;0,197;0,804;0,044;0,193;3,428;4,445;0,083;0,569;0,022;2,47;1,599;3,61;1,18;3,785;5,967;7,701;1,85;41,891;54,204
0,124;0,95;3,686;0,016;3,609;10,118;0,055;1,255;6,08;9,158;0,998;1,357;1,953;0,491;3,949;4,171;52,569;1,65;40,451;38,006
1,464;0,061;1,766;0,002;0,69;0,89;2,032;0,101;4,785;9,287;1,121;0,039;0,504;1,089;0,261;147,316;26,493;75,327;44,629;9,073
0,111;0,027;0,855;2,889;5,689;11,144;1,686;2,309;0,669;1,043;0,021;1,943;0,041;3,682;0,038;9,25;0,195;0,073;22,973;34,272
0,587;3,008;2,714;5,043;0,08;4,84;3,086;2,535;2,055;1,86;3,022;0,265;0,383;1,117;0,05;12,897;22,872;5,172;2,374;16,479
2,628;0,919;0,865;1,978;2,297;6,756;2,79;1,279;1,725;5,998;0,875;3,858;1,524;1,627;4,724;10,198;0,072;21,063;18,147;67,896
4,378;1,707;0,192;2,588;9,55;5,088;3,458;9,611;2,323;1,177;5,53;4,856;8,142;4,245;1,143;4,041;4,973;54,296;35,95;14,627
0,455;0,941;0,857;2,811;1,768;4,102;2,062;2,377;3,875;0,079;1,61;0,042;1,537;3,767;4,686;74,995;24,208;148,885;93,454;13,43
1,229;1,119;2,448;0,779;2,579;7,879;3,234;1,457;15,763;6,877;3,04;1,889;0,219;0,615;0,555;64,482;254,394;1,299;1,886;56,206
0,94;1,367;0,131;4,43;5,003;1,106;2,856;2,142;0,616;0,057;0,534;0,142;0,496;0,358;2,455;4,289;46,878;15,656;23,675;35,764
1,134;1,629;81,069;3,46;4,985;0,289;0,468;2,16;0,77;1,319;5,417;1,414;3,307;2,482;2,164;32,019;77,993;33,748;79,382;25,396
0,606;2,921;0,831;1,186;1,315;0,284;1,116;0,162;4,372;0,108;1,055;1,774;0,562;0,438;1,405;0,053;0,068;31,424;73,478;2,652
1,045;2,831;1,341;2,603;19,613;1,521;0,495;7,099;0,056;4,045;1,784;1,055;1,461;2,259;0,583;0,096;22,583;67,47;43,635;66,222
4,588;0,972;1,971;1,524;0,171;0,092;0,305;2,404;8,062;0,023;1,478;1,151;0,38;0,592;0,558;21,323;0,104;46,329;62,856;10,951
1,942;3,457;1,002;0,695;4,814;7,868;3,88;20,052;0,132;13,941;1,727;1,692;1,349;0,788;0,855;0,114;75,361;115,118;89,414;1,815
3,055;3,07;0,078;4,23;0,283;0,936;24,052;0,068;1,924;3,041;1,21;1,199;4,549;1,455;0,583;13,474;18,46;17,198;61,77;10,305
2,299;2,498;0,459;1,252;7,486;1,166;8,323;6,107;0,099;2,294;0,833;2,176;1,127;0,599;0,54;42,815;95,748;35,115;2,856;13,752
9,478;0,639;3,158;0,474;0,424;2,199;2,557;0,018;2,169;5,582;0,627;0,652;1,12;0,404;2,033;9,153;33,048;1,306;23,394;10,754
10,185;1,509;1,99;0,534;15,923;3,275;11,035;0,925;3,379;8,575;2,122;0,037;1,157;1,024;1,766;31,29;22,504;66,995;9,033;107,444
2,942;0,503;1,791;0,311;13,173;2,061;3,519;7,115;6,377;2,942;0,803;1,836;4,385;1,958;0,928;72,657;82,732;12,868;2,355;38,749
0,498;5,099;0,969;3,155;11,779;0,296;0,132;1,504;0,214;10,963;0,828;1,868;1,256;2,263;0,351;24,303;22,488;17,465;1,172;4890,2
2,771;0,785;0,172;6,526;10,853;2,475;0,19;4,914;0,175;0,136;3,445;1,496;0,776;0,243;5,028;6,119;41,048;71,116;17,566;7,421
0,446;0,438;2,267;7,639;0,064;8,748;6,092;0,088;3,941;20,558;0,317;2,196;0,888;1,713;0,304;27,264;52,834;40,768;8,955;94,993
0,532;0,165;0,857;1,363;0,28;2,936;0,569;0,033;0,124;0,15;0,453;1,633;0,67;2,652;2,662;220,526;37,226;148,951;73,565;48,349
2,953;3,001;0,137;0,041;3,856;10,091;0,896;4,594;0,1;3,51;1,632;0,307;3,311;0,767;1,619;8,113;16,661;4,309;0,084;20,111
1,439;0,048;2,874;1,5;0,261;3,983;2,305;3,019;5,601;6,042;3,972;0,038;3,258;0,035;0,499;3,231;63,578;34,075;27,69;2,417
0,895;3,974;1,662;5,486;1,69;1,114;1,986;6,278;9,972;3,14;0,798;3,292;0,421;1,551;5,423;11,412;1,674;11,095;0,117;45,385
1,941;0,095;0,774;1,308;1,047;1,393;1,973;4,709;3,648;0,746;5,91;3,843;2,775;0,647;0,467;42,066;16,848;0,056;63,838;73,916
4,803;0,869;2,259;0,544;0,749;1,073;0,858;1,374;14,845;0,983;77,394;1,115;0,544;1,589;1,58;4,389;6,147;15,471;7,295;22,74
8,377;0,091;0,371;0,061;0,596;1,482;16,003;0,218;4,081;2,476;0,556;2,193;3,379;8,112;7,233;7,138;28,18;35,014;70,427;10,319
0,216;10,756;2,987;18,877;4,897;1,58;2,468;6,551;8,777;3,187;0,025;1,406;2,777;1,743;3,22;29,886;0,026;18,961;60,515;36,033
3,829;2,385;1,803;1,043;2,148;2,931;0,341;0,032;1,119;1,542;1,204;0,98;2,285;3,03;0,043;13,413;174,12;18,855;112,772;64,458
3,901;0,535;0,353;1,747;11,892;0,276;15,646;19,789;6,423;0,184;3,379;1,672;2,748;0,079;1,03;47,856;49,877;6,634;57,628;28,324
1,159;2,296;3,84;4,42;1,474;3,739;1,648;1,529;0,091;1,551;0,366;1,494;1,232;1,3;0,573;17,66;52,651;24,495;20,69;13,467
3,775;2,114;0,364;2,705;0,273;0,869;6,209;1,311;0,141;7,924;0,264;0,827;1,177;0,816;1,168;69,373;60,173;0,361;4,623;8,297
6,845;0,559;1,395;1,18;9,02;5,598;22,413;0,852;8,56;7,199;0,337;1,619;0,564;0,841;2,185;2,694;14,443;1,261;27,026;53,584
8,913;3,333;0,946;0,483;1,203;9,395;5,407;0,776;0,537;1,404;0,977;1,614;1,408;0,893;0,942;3,914;41,256;1,307;75,829;12,963
3,038;2,34;0,523;5,308;5,746;0,069;0,014;24,674;8,462;10,713;1,556;0,841;1,552;1,515;1,111;35,812;30,109;130,023;6,859;21,716
0,128;2,241;0,619;1,79;0,146;3,891;4,052;12,104;3,941;3,304;1,589;1,444;0,554;1,318;0,559;21,93;18,534;8,602;86,065;48,708
0,175;1,591;2,452;2,523;0,047;3,157;2,324;2,187;0,078;1,562;4,511;0,041;1,667;3,286;4,244;69,261;42,89;293,157;6,119;28,103
0,039;0,621;0,026;5,32;6,103;1,482;5,671;0,038;3,464;11,946;1,282;1,474;0,631;2,002;0,038;8,879;44,037;14,044;3,351;7,233
0,032;2,051;0,853;5,079;0,116;0,003;2,176;3,995;2,376;3,255;1,107;1,36;0,829;0,936;5,721;3,892;3,312;13,785;45,575;69,626
3,008;1,869;11,882;0,732;3,44;7,398;12,44;2,882;0,039;4,489;1,269;2,605;0,174;1,633;2,305;4,965;91,51;52,142;4,787;10,692
4,251;2,147;0,09;2,089;0,31;0,055;0,055;3,281;4,351;7,314;0,508;1,646;3,628;1,62;0,027;72,899;0,004;153,766;9,366;4775,31
0,049;0,072;0,083;4,06;10,208;14,375;1,485;5,042;1,139;0,227;88,324;1,601;1,869;2,253;3,336;23,831;14,539;124,641;2,317;160,465
2,607;0,05;0,186;0,053;7,621;12,689;13,85;0,677;0,69;4,239;1,08;1,608;4,251;3,32;1,716;5,307;18,129;0,043;8,283;83,831
2,329;3,454;3,517;3,198;1,525;11,325;0,074;3,897;7,308;7,351;0,597;2,173;2,591;0,38;1,736;14,002;97,463;0,038;63,492;47,097
1,872;0,082;0,524;0,065;0,068;4,837;1,507;0,081;6,363;16,994;0,912;0,306;0,958;0,503;0,262;16,104;14,31;16,762;59,432;38,625
0,478;0,073;0,131;3,572;0,042;7,047;5,322;3,115;2,147;0,111;1,416;0,257;1,199;0,887;0,046;45,231;11,596;54,187;5,566;99,94
1,14;2,373;2,429;0,103;0,211;8,687;4,536;3,416;2,387;2,349;1,532;0,42;0,032;7,416;0,569;23,104;57,992;0,034;72,018;12,525
0,503;1,373;0,044;2,661;2,489;1,497;1,941;1,113;0,953;1,9;0,873;3,518;1,121;2,428;3,588;23,793;12,19;0,05;3,058;8,894
3,213;2,299;3,849;3,155;2,277;0,036;0,221;1,583;13,008;0,522;2,202;3,619;0,442;1,34;5,185;11,086;18,683;24,98;8,891;68,113
1,499;0,997;2,623;1,717;3,317;3,755;0,926;2,32;7,813;0,032;0,971;1,072;3,56;0,558;0,83;97,028;27,917;94,741;15,499;35,883
1,053;0,812;1,377;6,787;3,155;2,492;3,609;9,158;3,345;1,309;5,519;3,772;2,447;0,906;1,001;60,663;4,979;53,251;19,268;3,841
1,194;1,96;1,637;3,806;1,818;3,641;2,41;16,106;0,732;1,397;0,059;0,067;3,489;0,044;0,912;146,205;51,609;79,103;52,392;46,429
0,49;6,146;1,59;1,719;0,611;1,154;1,693;6,822;0,843;10,161;1,456;1,304;8,521;2,943;0,832;83,154;113,954;106,14;20,239;50,854
0,895;0,69;1,184;2,399;3,598;2,666;3,242;11,76;0,706;3,223;5,218;0,55;0,046;0,84;0,329;15,458;16,885;20,12;85,838;4,837
78,893;5,448;3,631;6,609;5,509;5,799;8,715;0,211;0,02;0,931;0,6;0,771;1,088;1,072;3,355;38,86;36,334;51,03;53,828;0,963
1,088;0,676;0,783;1,563;0,59;1,244;3,732;3,93;7,623;3,293;0,024;2,32;1,164;3,919;2,534;38,758;0,321;0,512;32,642;13,172
0,706;2,98;2,697;13,675;10,667;0,096;1,099;0,546;17,489;12,421;5,382;1,928;0,039;1,463;1,068;0,057;41,105;24,424;70,702;8,657
0,052;0,366;5,137;9,867;7,416;5,943;4,119;0,556;0,223;3,735;0,625;0,899;0,539;0,875;4,674;1,917;73,302;69,325;5,192;7,341
1,639;0,372;2,097;4,102;3,891;0,944;0,269;5,849;0,04;14,435;1,844;1,505;2,606;0,539;0,582;37,292;3,677;0,072;18,932;5,658
1,227;2,829;3,923;10,074;1,166;3,041;1,388;7,593;8,144;12,265;2,35;0,896;1,823;0,324;3,141;18,462;8,818;25,597;0,123;11,948
2,107;2,007;57,22;3,893;3,48;1,32;2,62;0,329;6,35;18,418;0,026;2,423;1,462;1,819;1,427;23,18;39,657;12,422;94,683;2,948
0,035;0,484;2,022;1,778;4,433;4,936;2,874;5,158;2,406;2,156;2,72;1,678;1,026;0,803;2,164;16,727;0,476;11,403;175,599;10,988
0,011;0,81;3,622;2,828;6,033;0,564;5,189;0,017;3,606;1,214;1,626;1,613;0,642;1,718;1,641;104,164;11,804;12,673;125,238;72,792
0,927;5,112;0,344;2,098;3,476;1,941;8,072;7,332;5,387;19,629;1,511;1,936;2,697;0,757;1,636;15,576;21,846;28,389;21,278;73,458
10,396;1,456;1,308;1,617;1,341;8,98;5,443;2,429;4,738;23,896;0,846;1,622;1,729;1,051;0,562;0,013;49,672;20,117;4,104;7,703
0,886;0,188;0,182;6,007;12,698;7,27;0,469;6,654;12,143;17,063;1,402;0,271;1,615;0,968;2,051;6,493;137,617;48,824;5,669;9,877
0,29;1,385;1,373;1,133;2,216;0,071;11,598;1,044;0,746;4,462;0,289;0,226;1,603;1,217;0,26;10,392;28,378;19,079;25,245;60,459
1,203;2,497;3,423;0,033;4,917;5,403;0,406;3,034;3,191;0,12;0,037;0,024;2,207;4,169;1,437;35,668;4,362;0,164;0,1;33,241
2,364;1,079;2,541;0,049;0,452;3,927;7,741;2,528;1,203;3,148;9,209;4,326;0,321;8,097;0,245;143,303;28,929;79,121;20,032;4,163
2,301;4,216;1,831;0,05;2,649;4,466;1,705;2,984;6,968;0,918;2,038;5,933;0,316;1,878;2,097;42,308;8,643;165,37;71,812;60,698
3,47;0,045;1,113;0,074;0,082;2,022;1,909;0,899;4,409;0,814;1,438;1,363;0,649;1,319;6,579;63,141;51,02;47,377;14,194;28,725
7,189;1,088;0,826;9,669;4,898;0,704;3,379;0,238;6,738;2,294;0,569;0,579;3,82;0,048;4,024;3,203;1,884;41,761;35,989;0,084
64,119;0,493;1,551;0,954;4,495;2,834;5,531;2,563;5,061;16,502;0,535;0,561;5,353;1,796;0,043;17,767;2,194;28,231;1,063;5,767
0,09;2,186;0,732;0,07;1,307;9,327;2,994;10,123;1,169;0,037;1,063;0,123;1,476;0,945;3,943;3,012;68,617;58,851;28,982;15,488
1,078;0,054;2,117;2,482;0,436;6,036;4,211;3,021;4,906;5,28;0,044;1,398;0,697;0,446;0,909;5,556;0,186;17,29;7,095;9,093
4,122;0,71;0,359;3,079;7,8;1,211;15,854;1,477;4,113;1,425;2,569;0,854;0,064;0,651;1,83;34,818;18,356;27,715;25,816;63,202
1,538;0,796;1,481;5,038;2,693;5,024;0,035;2,174;0,13;1,513;1,118;0,493;0,989;3,005;1,612;29,846;26,805;1,997;49,732;30,702
0,048;3,868;2,506;15,374;1,917;1,072;5,3;13,626;18,428;0,085;51,144;3,204;1,459;0,118;0,069;115,733;9,942;36,417;5,061;8,23
2,041;0,35;0,646;2,196;0,766;4,029;0,545;0,0;0,06;0,155;1,235;0,06;1,125;2,115;0,888;9,816;117,714;31,068;20,854;61,24
0,563;0,963;1,293;4,564;5,794;3,984;5,042;11,843;0,015;2,604;104,798;2,181;0,045;0,112;1,27;115,3;4,238;43,999;17,824;80,884
1,778;2,826;0,814;4,662;3,84;0,762;6,984;5,365;1,772;21,458;1,967;4,513;3,249;0,52;0,549;0,888;48,102;16,666;18,346;0,39
0,644;1,639;75,914;9,92;2,588;1,697;2,82;18,586;1,853;4,564;1,707;0,616;0,431;2,166;0,212;38,158;22,675;99,461;177,995;48,332
1,89;1,27;0,441;3,344;2,246;3,76;8,318;3,309;0,087;4,419;0,676;0,551;0,353;1,578;1,87;52,769;77,239;53,737;108,425;0,007
0,877;1,434;0,594;0,521;1,292;2,262;6,078;0,0;1,106;11,727;0,34;0,98;0,417;0,025;1,535;57,185;33,122;20,851;3,363;25,058
1,584;0,693;3,793;2,28;1,037;3,442;0,793;3,314;3,661;1,021;1,193;1,749;0,433;3,095;4,505;10,622;4,828;0,057;57,609;7,785
4,887;2,109;0,148;4,275;1,64;8,453;0,009;5,272;0,099;17,008;0,425;5,64;0,038;1,612;1,703;15,999;8,349;17,705;13,903;14,492
3,772;1,155;0,755;4,154;71,149;3,298;4,105;2,108;1,269;17,45;3,633;1,657;1,664;0,406;1,699;23,261;34,83;6,579;5,788;10,28
3,29;1,702;7,997;0,227;9,588;24,076;1,98;0,132;2,825;35,974;2,163;1,633;1,859;1,382;1,62;109,833;133,687;4,006;167,858;23,712
0,5;1,68;1,274;2,195;5,215;1,654;3,031;1,807;1,372;1,339;5,065;0,548;0,29;2,21;1,212;116,969;37,854;27,099;0,057;4709,039
1,121;2,196;0,789;1,372;0,852;9,38;1,994;3,58;3,144;12,392;0,83;0,783;2,592;5,057;0,325;17,281;59,818;176,993;1,189;59,394
1,947;0,089;1,135;0,842;1,197;9,531;5,859;5,535;13,92;7,623;0,964;1,485;2,332;0,533;1,857;37,966;42,696;14,652;50,936;28,582
1,915;0,781;0,014;1,953;2,453;0,118;0,031;2,945;3,654;4,389;0,044;0,733;0,02;9,831;1,228;68,761;23,751;22,888;9,528;37,523
72,181;0,857;4,481;0,116;3,105;5,552;1,774;4,014;3,965;14,281;4,562;2,496;0,248;1,078;0,419;40,302;23,96;56,793;72,737;124,67
3,082;0,037;0,678;3,274;0,593;3,229;4,885;1,127;4,86;0,134;2,35;2,503;0,628;1,257;9,065;29,757;22,649;78,565;37,008;18,471
